ITEM_ID,OPC_FULLNAME,DH_BLDG,DH_ROOM,DH_TAG,ITEM_DESC,LOC_ID,COMMENTS,ENABLED,SOURCE,LAT,LON,FREQ,RETENTION
1,LAKRETZ_SB200.CHW.FLOW_CV,LAKRETZ,SB200,CHWS.FLW,CHW Flow,64115,,Y,Cogen,,,15,-1
2,LAKRETZ_SB200.CHWR.TMP_CV,LAKRETZ,SB200,CHWS.RT,CHW Return Temp,64115,,Y,Cogen,,,15,-1
3,LAKRETZ_SB200.CHWS.TMP_CV,LAKRETZ,SB200,CHWS.ST,CHW Supply Temp,64115,,Y,Cogen,,,15,-1
4,LAKRETZ_SB200.HW.FLOW_CV,LAKRETZ,SB200,HWS.FLW,HW Flow,64115,,Y,Cogen,,,15,-1
5,LAKRETZ_SB200.HWR.TMP_CV,LAKRETZ,SB200,HWS.RT,HW Return Temp,64115,,Y,Cogen,,,15,-1
6,LAKRETZ_SB200.HWS.TMP_CV,LAKRETZ,SB200,HWS.ST,HW Supply Temp,64115,,Y,Cogen,,,15,-1
7,ACOSTA_CHWS.FLW_CV,ACOSTA_CTR,,CHWS.FLW,CHW Flow,104,,Y,Pauley,,,15,-1
8,ACOSTA_CHWS.RT_CV,ACOSTA_CTR,,CHWS.RT,CHW Return Temp,104,,Y,Pauley,,,15,-1
13,ASHE_LOT-4.CHWS.FLW_CV,ASHE_CENTER,LOT-4,CHWS.FLW,CHW Flow,382,,Y,Pauley,,,15,-1
14,ASHE_LOT-4.CHWS.RT_CV,ASHE_CENTER,LOT-4,CHWS.RT,CHW Return Temp,382,,Y,Pauley,,,15,-1
15,BOELTER_2750.CHWS.FLW_CV,BOELTER_HALL,2750,CHWS.FLW,CHW Flow,124,,Y,Cogen,,,15,-1
16,BOELTER_2750.CHWS.RT_CV,BOELTER_HALL,2750,CHWS.RT,CHW Return Temp,124,,Y,Cogen,,,15,-1
17,BOELTER_2750.CHWS.ST_CV,BOELTER_HALL,2750,CHWS.ST,CHW Supply Temp,124,,Y,Cogen,,,15,-1
18,BOTANY_B-2.CHWS.FLW_CV,BOTANY,B-2,CHWS.FLW,CHW Flow,126,,Y,Cogen,,,15,-1
